E[1] [eV],Re(eps)_nbnd_90,Re(eps)_nbnd_100,Re(eps)_nbnd_110,Re(eps)_nbnd_120,Re(eps)_nbnd_140,Re(eps)_nbnd_160
5.000000,2.72671100,2.73541600,2.74157400,2.74598400,2.75217600,2.75626500
5.037593,2.73307200,2.74178900,2.74795100,2.75236500,2.75856300,2.76265500
5.075188,2.70033400,2.70905900,2.71523200,2.71965000,2.72585100,2.72994600
5.112782,2.64129900,2.65003500,2.65621100,2.66063200,2.66683700,2.67093600
5.150376,2.57082500,2.57957300,2.58575600,2.59018100,2.59639200,2.60049300
5.187970,2.47308800,2.48184800,2.48803900,2.49246800,2.49868200,2.50278500
5.225564,2.32829700,2.33706700,2.34326400,2.34770000,2.35391900,2.35802400
5.263157,2.14995400,2.15873600,2.16493900,2.16937700,2.17560100,2.17970800
5.300752,1.93659400,1.94538800,1.95159600,1.95604000,1.96227000,1.96638100
5.338346,1.64983200,1.65863600,1.66485200,1.66929800,1.67553600,1.67964900
5.375940,1.28921900,1.29803500,1.30425900,1.30871100,1.31495200,1.31906700
5.413534,0.94010000,0.94892800,0.95515800,0.95961400,0.96586000,0.96998000
5.451128,0.66522400,0.67406600,0.68030200,0.68476400,0.69101400,0.69514000
5.488721,0.43392200,0.44277600,0.44901800,0.45348200,0.45973700,0.46386100
5.526316,0.24430200,0.25316700,0.25941800,0.26388700,0.27014800,0.27427600
5.563910,0.14528300,0.15416000,0.16042000,0.16489500,0.17115900,0.17528900
5.601503,0.11413800,0.12302700,0.12929500,0.13377000,0.14004200,0.14417400
5.639097,0.09835900,0.10726000,0.11353300,0.11801600,0.12429300,0.12842800
5.676692,0.08466600,0.09358300,0.09986300,0.10435200,0.11063400,0.11477200
5.714285,0.10017400,0.10910000,0.11539000,0.11988200,0.12617000,0.13031300
5.751880,0.14705100,0.15599000,0.16228800,0.16678200,0.17307500,0.17721900
5.789474,0.20536700,0.21431900,0.22062300,0.22512400,0.23142100,0.23556900
5.827067,0.26737400,0.27634100,0.28265300,0.28716000,0.29346300,0.29761400
5.864661,0.33608800,0.34506700,0.35138700,0.35589800,0.36220700,0.36636000
5.902255,0.39720600,0.40619800,0.41252500,0.41704000,0.42335700,0.42751300
5.939849,0.44468400,0.45369000,0.46002500,0.46454700,0.47086800,0.47502800
5.977444,0.49797900,0.50699900,0.51334200,0.51786900,0.52419500,0.52835700
6.015037,0.55135800,0.56039200,0.56674400,0.57127500,0.57760900,0.58177300
6.052631,0.59753100,0.60657900,0.61293900,0.61747400,0.62381400,0.62798300
6.090225,0.64731800,0.65637900,0.66274800,0.66728800,0.67363400,0.67780600
6.127820,0.68312500,0.69220200,0.69857900,0.70312400,0.70947600,0.71365100
6.165413,0.68251000,0.69160100,0.69798600,0.70253700,0.70889500,0.71307300
6.203007,0.65525800,0.66436200,0.67075500,0.67531200,0.68167400,0.68585700
6.240601,0.61675900,0.62587900,0.63228200,0.63684400,0.64321100,0.64739700
6.278195,0.56480700,0.57394000,0.58035100,0.58491800,0.59129300,0.59548000
6.315789,0.50199700,0.51114600,0.51756600,0.52213800,0.52851900,0.53270900
6.353383,0.44305200,0.45221600,0.45864400,0.46322100,0.46960800,0.47380400
6.390977,0.39906900,0.40824700,0.41468400,0.41926700,0.42566100,0.42986100
6.428571,0.39527000,0.40446300,0.41090900,0.41549700,0.42189800,0.42610000
6.466165,0.43371000,0.44291900,0.44937500,0.45396800,0.46037600,0.46458000
6.503759,0.48159600,0.49082000,0.49728500,0.50188500,0.50829700,0.51250600
6.541353,0.51780700,0.52704800,0.53352100,0.53812700,0.54454600,0.54875900
6.578947,0.53659500,0.54585200,0.55233400,0.55694500,0.56337100,0.56758700
6.616541,0.53527800,0.54455100,0.55104300,0.55565900,0.56209100,0.56631200
6.654135,0.52299500,0.53228400,0.53878600,0.54340900,0.54984700,0.55407000
6.691729,0.52156700,0.53087200,0.53738200,0.54201000,0.54845700,0.55268400
6.729323,0.54187700,0.55120000,0.55772100,0.56235500,0.56880600,0.57303800
6.766917,0.57455600,0.58389500,0.59042400,0.59506400,0.60152300,0.60575700
6.804511,0.60651500,0.61586900,0.62240900,0.62705500,0.63352200,0.63775900
6.842104,0.62966400,0.63903600,0.64558500,0.65023800,0.65671000,0.66095300
6.879699,0.64145700,0.65084500,0.65740500,0.66206300,0.66854200,0.67278700
6.917293,0.64977700,0.65918400,0.66575300,0.67041800,0.67690500,0.68115400
6.954887,0.65545000,0.66487300,0.67145200,0.67612300,0.68261600,0.68687000
6.992481,0.65434500,0.66378600,0.67037500,0.67505200,0.68155300,0.68581000
7.030074,0.64501900,0.65447800,0.66107800,0.66576000,0.67226900,0.67652800
7.067669,0.63899500,0.64847100,0.65508100,0.65977100,0.66628600,0.67055100
7.105263,0.64765500,0.65715000,0.66377000,0.66846600,0.67498900,0.67925600
7.142857,0.66602800,0.67554200,0.68217300,0.68687500,0.69340500,0.69767700
7.180451,0.69032000,0.69985100,0.70649300,0.71120200,0.71773900,0.72201500
7.218045,0.72209300,0.73164300,0.73829600,0.74301100,0.74955700,0.75383600
7.255639,0.75618300,0.76575200,0.77241500,0.77713700,0.78369000,0.78797300
7.293232,0.78635900,0.79594700,0.80262200,0.80735000,0.81390900,0.81819700
7.330826,0.81548200,0.82509000,0.83177500,0.83651000,0.84307700,0.84736900
7.368421,0.84574600,0.85537400,0.86207000,0.86681100,0.87338700,0.87768300
7.406014,0.87225000,0.88189600,0.88860300,0.89335300,0.89993600,0.90423600
7.443608,0.89328200,0.90294800,0.90966700,0.91442200,0.92101200,0.92531700
7.481203,0.91297300,0.92265900,0.92938900,0.93415100,0.94075000,0.94505700
7.518797,0.93817000,0.94787700,0.95461900,0.95938700,0.96599400,0.97030600
7.556391,0.96766800,0.97739400,0.98414800,0.98892400,0.99553800,0.99985600
7.593984,0.99043400,1.00018000,1.00694500,1.01172900,1.01835100,1.02267200
7.631578,0.99720000,1.00696500,1.01374100,1.01853200,1.02516200,1.02948800
7.669173,0.98682300,0.99660500,1.00339400,1.00819100,1.01483000,1.01916100
7.706767,0.97493900,0.98474000,0.99154100,0.99634600,1.00299300,1.00732700
7.744360,0.97939200,0.98921700,0.99603000,1.00084200,1.00749700,1.01183600
7.781955,0.99294700,1.00279400,1.00962100,1.01443900,1.02110400,1.02544700
7.819549,1.00277400,1.01264200,1.01948000,1.02430700,1.03097900,1.03532700
7.857142,1.01243000,1.02231700,1.02916800,1.03400200,1.04068300,1.04503500
7.894736,1.02918900,1.03910000,1.04596300,1.05080500,1.05749400,1.06185100
7.932330,1.05082100,1.06075800,1.06763300,1.07248300,1.07918000,1.08354100
7.969924,1.07175700,1.08171600,1.08860500,1.09346200,1.10016800,1.10453400
8.007519,1.09507000,1.10504300,1.11194500,1.11681000,1.12352500,1.12789600
8.045113,1.11573200,1.12570600,1.13262200,1.13749400,1.14421800,1.14859400
8.082706,1.12241700,1.13238800,1.13931700,1.14419800,1.15093100,1.15531000
8.120299,1.11013600,1.12013500,1.12707800,1.13196600,1.13870700,1.14309200
8.157894,1.07927000,1.08931700,1.09627100,1.10116700,1.10791700,1.11230700
8.195488,1.03507200,1.04516600,1.05213100,1.05703500,1.06379400,1.06818800
8.233082,0.98682900,0.99697500,1.00395300,1.00886500,1.01563300,1.02003300
8.270677,0.94088200,0.95106900,0.95806300,0.96298200,0.96976000,0.97416400
8.308270,0.89666200,0.90686200,0.91387100,0.91879800,0.92558500,0.92999300
8.345864,0.85830900,0.86851600,0.87554000,0.88047600,0.88727200,0.89168600
8.383458,0.83760500,0.84782900,0.85486500,0.85980800,0.86661400,0.87103200
8.421052,0.83655200,0.84679700,0.85384100,0.85879300,0.86560900,0.87003200
8.458646,0.84250900,0.85278000,0.85982700,0.86478700,0.87161200,0.87604000
8.496240,0.84000400,0.85029900,0.85735500,0.86232600,0.86916000,0.87359400
8.533834,0.82592800,0.83624900,0.84332600,0.84831100,0.85515600,0.85959400
8.571428,0.81079100,0.82113900,0.82823500,0.83324000,0.84009500,0.84453900
8.609021,0.80602400,0.81639800,0.82350800,0.82852600,0.83538900,0.83983800
8.646616,0.80691700,0.81731800,0.82443300,0.82944900,0.83632300,0.84077700
8.684210,0.79225700,0.80268500,0.80981800,0.81483300,0.82171700,0.82617700
8.721804,0.75785100,0.76830700,0.77547100,0.78049100,0.78738500,0.79185000
8.759398,0.73259700,0.74308100,0.75026700,0.75529600,0.76220000,0.76667100
8.796992,0.73016800,0.74068000,0.74788000,0.75292100,0.75983500,0.76431100
8.834586,0.73850300,0.74904300,0.75626100,0.76131100,0.76823600,0.77271600
8.872180,0.74626700,0.75683800,0.76406800,0.76912900,0.77606500,0.78055100
8.909773,0.75560600,0.76620400,0.77344800,0.77852500,0.78547100,0.78996200
8.947368,0.77139200,0.78202000,0.78927500,0.79436400,0.80132000,0.80581800
8.984962,0.79482500,0.80547700,0.81275000,0.81784200,0.82480800,0.82931100
9.022555,0.82414200,0.83481600,0.84210700,0.84720000,0.85417800,0.85868600
9.060150,0.85521300,0.86590800,0.87321800,0.87832000,0.88531000,0.88982400
9.097744,0.88715300,0.89787900,0.90520700,0.91031900,0.91732100,0.92184000
9.135338,0.91821900,0.92897900,0.93632300,0.94144600,0.94845700,0.95298200
9.172933,0.94389700,0.95469100,0.96205200,0.96718500,0.97420600,0.97873600
9.210526,0.96453900,0.97536700,0.98274500,0.98789000,0.99491800,0.99945400
9.248120,0.98427000,0.99512800,1.00252300,1.00767900,1.01471400,1.01925700
9.285713,1.00612100,1.01700700,1.02442100,1.02958900,1.03663200,1.04118100
9.323307,1.02712300,1.03803500,1.04546700,1.05064500,1.05769800,1.06225100
9.360902,1.04091800,1.05185700,1.05930700,1.06449600,1.07156200,1.07612300
9.398496,1.04625300,1.05721300,1.06468200,1.06988200,1.07696300,1.08152900
9.436090,1.04200000,1.05297800,1.06046600,1.06567600,1.07277200,1.07734400
9.473684,1.02419500,1.03520100,1.04270900,1.04793000,1.05503800,1.05961700
9.511277,0.99689000,1.00793900,1.01546700,1.02069800,1.02781900,1.03240300
9.548872,0.97021700,0.98131600,0.98886100,0.99410300,1.00124000,1.00583000
9.586466,0.95199000,0.96314300,0.97070000,0.97595300,0.98310900,0.98770600
9.624060,0.94295100,0.95415000,0.96171600,0.96698100,0.97415000,0.97875200
9.661654,0.94203500,0.95326600,0.96084900,0.96612500,0.97330000,0.97790800
9.699247,0.95014400,0.96140500,0.96901000,0.97429600,0.98147800,0.98609300
9.736841,0.96324800,0.97454600,0.98217000,0.98746800,0.99466300,0.99928500
9.774436,0.97692000,0.98825100,0.99589900,1.00120900,1.00841700,1.01304700
9.812029,0.99398200,1.00534200,1.01301200,1.01833200,1.02555600,1.03019200
9.849624,1.01489600,1.02627800,1.03396200,1.03929500,1.04653200,1.05117300
9.887218,1.03254200,1.04394700,1.05163100,1.05697500,1.06422400,1.06887400
9.924811,1.03902200,1.05045500,1.05814200,1.06349800,1.07075600,1.07541300
9.962406,1.03169000,1.04317000,1.05087500,1.05624200,1.06350900,1.06817200
9.999999,1.01637600,1.02790700,1.03564800,1.04102700,1.04829900,1.05296700
10.037590,1.00616800,1.01775500,1.02553400,1.03092600,1.03820900,1.04288300
10.075190,1.00634600,1.01799500,1.02579500,1.03119800,1.03849800,1.04317600
10.112780,1.00935700,1.02106400,1.02887400,1.03429000,1.04160300,1.04628800
10.150380,1.00780600,1.01955200,1.02738100,1.03280800,1.04013400,1.04482700
10.187970,1.00663300,1.01840600,1.02625700,1.03169700,1.03903800,1.04373900
10.225560,1.01335400,1.02515800,1.03302500,1.03847700,1.04583900,1.05055000
10.263160,1.02351000,1.03535700,1.04324200,1.04870500,1.05608300,1.06080300
10.300750,1.02943100,1.04132300,1.04924100,1.05471700,1.06211000,1.06683400
10.338350,1.03124400,1.04316900,1.05111900,1.05660900,1.06401600,1.06874200
10.375940,1.03094300,1.04289400,1.05086200,1.05636800,1.06379000,1.06851900
10.413530,1.02818800,1.04017100,1.04816100,1.05368000,1.06111700,1.06585100
10.451130,1.02338400,1.03540900,1.04343100,1.04895300,1.05640600,1.06114300
10.488720,1.02126800,1.03334500,1.04140300,1.04692600,1.05439400,1.05913200
10.526310,1.02397500,1.03610100,1.04418800,1.04972500,1.05720500,1.06194700
10.563910,1.02796900,1.04014000,1.04824000,1.05380400,1.06130200,1.06605100
10.601500,1.02814100,1.04035700,1.04846900,1.05405800,1.06157500,1.06633300
10.639100,1.02057200,1.03282500,1.04096300,1.04656500,1.05410500,1.05887800
10.676690,1.00669500,1.01898900,1.02716400,1.03277600,1.04032900,1.04511300
10.714280,0.99371500,1.00606100,1.01427200,1.01989800,1.02745600,1.03225300
10.751880,0.98855400,1.00095400,1.00919100,1.01483500,1.02239800,1.02720800
10.789470,0.99147200,1.00392600,1.01217300,1.01783700,1.02541500,1.03023100
10.827070,0.99899800,1.01150800,1.01977200,1.02546000,1.03304800,1.03787100
10.864660,1.00843500,1.02100500,1.02929800,1.03499700,1.04259500,1.04742700
10.902250,1.01331300,1.02594500,1.03428200,1.03997400,1.04757100,1.05241000
10.939850,1.00741100,1.02010200,1.02848200,1.03415900,1.04175200,1.04659900
10.977440,0.98923000,1.00198400,1.01039200,1.01606800,1.02366300,1.02852100
11.015040,0.96016100,0.97295000,0.98138100,0.98706700,0.99469000,0.99955800
11.052630,0.92005800,0.93284500,0.94128500,0.94700400,0.95468300,0.95955900
11.090220,0.87489800,0.88770900,0.89616200,0.90192300,0.90963700,0.91452100
11.127820,0.83736300,0.85024800,0.85873400,0.86451800,0.87224100,0.87713500
11.165410,0.81425000,0.82721900,0.83574000,0.84152700,0.84926200,0.85416100
11.203010,0.80344400,0.81648100,0.82502500,0.83083100,0.83857800,0.84348000
11.240600,0.79915600,0.81225100,0.82081300,0.82665200,0.83441100,0.83932000
11.278190,0.79539000,0.80854400,0.81714200,0.82300700,0.83077400,0.83569000
11.315790,0.79174600,0.80495700,0.81358700,0.81947000,0.82724900,0.83217900
11.353380,0.79093600,0.80420200,0.81285500,0.81875400,0.82656100,0.83149900
11.390980,0.79449300,0.80781900,0.81649500,0.82239900,0.83023100,0.83517800
11.428570,0.80024100,0.81362400,0.82234400,0.82824400,0.83609200,0.84104700
11.466160,0.80318900,0.81662600,0.82539900,0.83131900,0.83917400,0.84413500
11.503760,0.80178200,0.81528100,0.82408800,0.83003700,0.83790200,0.84287500
11.541350,0.80041500,0.81398600,0.82279700,0.82877000,0.83666400,0.84164900
11.578950,0.80170100,0.81533600,0.82415100,0.83013500,0.83806700,0.84306700
11.616540,0.80234700,0.81603400,0.82488200,0.83088100,0.83883400,0.84383700
11.654130,0.80014400,0.81389100,0.82279100,0.82880500,0.83676100,0.84176800
11.691730,0.79262400,0.80645100,0.81539600,0.82142300,0.82937600,0.83438800
11.729320,0.77956400,0.79347100,0.80244900,0.80849600,0.81645300,0.82146900
11.766920,0.76659100,0.78056000,0.78956400,0.79564200,0.80362200,0.80864000
11.804510,0.76151600,0.77554400,0.78457200,0.79067800,0.79868700,0.80372200
11.842100,0.76462600,0.77871900,0.78778400,0.79390800,0.80194400,0.80698800
11.879700,0.77149200,0.78564200,0.79475200,0.80088800,0.80895200,0.81399900
11.917290,0.78027800,0.79448300,0.80363400,0.80979000,0.81788000,0.82293700
11.954890,0.78899000,0.80326800,0.81244300,0.81862500,0.82674000,0.83180500
11.992480,0.79480900,0.80917400,0.81836900,0.82457300,0.83271300,0.83778000
12.030070,0.79454100,0.80899800,0.81822200,0.82444000,0.83259500,0.83766600
12.067670,0.78339200,0.79792900,0.80718900,0.81342200,0.82159200,0.82666900
12.105260,0.76037000,0.77497700,0.78427700,0.79052200,0.79872300,0.80381000
12.142860,0.73162500,0.74630500,0.75565000,0.76189900,0.77014000,0.77523700
12.180450,0.70754700,0.72230300,0.73169100,0.73795700,0.74621800,0.75133100
12.218040,0.69410600,0.70894700,0.71837200,0.72466700,0.73291700,0.73805800
12.255640,0.68749200,0.70242700,0.71188800,0.71821500,0.72644900,0.73161900
12.293230,0.68136800,0.69639100,0.70588700,0.71224600,0.72049100,0.72566300
12.330830,0.67302800,0.68813200,0.69766200,0.70404600,0.71232800,0.71748900
12.368420,0.66354500,0.67871900,0.68829300,0.69469900,0.70301900,0.70817800
12.406010,0.65522200,0.67047900,0.68010200,0.68651600,0.69486400,0.70004000
12.443610,0.64933100,0.66467800,0.67434500,0.68076400,0.68914200,0.69434000
12.481200,0.64679900,0.66223200,0.67193900,0.67837100,0.68677600,0.69199900
